0 1 0.0	time: 3.1990749835968018
0 1 0.1	time: 3.0703940391540527
0 1 0.2	time: 3.0374755859375
0 2 0.0	time: 2.0219905376434326
0 2 0.1	time: 2.0938127040863037
0 2 0.2	time: 2.1007955074310303
0 3 0.0	time: 1.389557123184204
0 3 0.1	time: 1.6818327903747559
0 3 0.2	time: 1.7087676525115967
1 1 0.0	time: 2.6773674488067627
1 1 0.1	time: 2.6554229259490967
1 1 0.2	time: 2.6354711055755615
1 2 0.0	time: 2.047927141189575
1 2 0.1	time: 2.179600238800049
1 2 0.2	time: 2.1456856727600098
1 3 0.0	time: 1.3995332717895508
1 3 0.1	time: 1.7327075004577637
1 3 0.2	time: 1.7805888652801514
2 1 0.0	time: 2.853931427001953
2 1 0.1	time: 2.8748788833618164
2 1 0.2	time: 2.842958927154541
2 2 0.0	time: 2.0658838748931885
2 2 0.1	time: 2.3970634937286377
2 2 0.2	time: 2.444944143295288
2 3 0.0	time: 1.4075136184692383
2 3 0.1	time: 1.9162533283233643
2 3 0.2	time: 1.897301197052002
3 1 0.0	time: 2.6524288654327393
3 1 0.1	time: 2.669386863708496
3 1 0.2	time: 2.67836594581604
3 2 0.0	time: 1.9890720844268799
3 2 0.1	time: 2.2244889736175537
3 2 0.2	time: 2.21551251411438
3 3 0.0	time: 1.3516514301300049
3 3 0.1	time: 1.7955522537231445
3 3 0.2	time: 1.8633837699890137
4 1 0.0	time: 3.1851093769073486
4 1 0.1	time: 3.296832799911499
4 1 0.2	time: 3.2299981117248535
4 2 0.0	time: 2.7262465953826904
4 2 0.1	time: 3.256931781768799
4 2 0.2	time: 3.2309963703155518
4 3 0.0	time: 2.2773587703704834
4 3 0.1	time: 3.326759099960327
4 3 0.2	time: 3.3806254863739014
